#
# file format:
# Lines of comment start with '#' and are only allowed at the beginning of the file
# Empty lines are not allowed.
# The first line not being a comment has to be one integer, indicating the number of
# molecule data sets.
#
# Molecule data consists of
# * xyz-coordinates (3 double values)
# * velocities (2 or 3 double values)
# * mass (1 double value)
#
# xyz-coord      velocity        mass
58
0.0 0.0 0.0      0.2 0.0 0.0     1.0e-8
1.0 0.0 0.0      0.0 0.2 0.0     1.0e-8
0.0 1.0 0.0      0.0 0.0 0.2     1.0e-8
0.0 2.0 0.0      0.0 -0.2 0.0     1.0e-8
0.0 3.0 0.0      0.2 0.0 0.0     1.0e-8
-1.0 3.0 0.0      0.0 0.0 0.2     1.0e-8
-2.0 2.0 0.0      0.0 -0.2 0.0     1.0e-8
-3.0 1.0 0.0      0.0 0.0 0.2     1.0e-8
-4.0 0.0 0.0      0.2 0.0 0.0     1.0e-8
-5.0 0.0 0.0      0.0 -0.2 0.0     1.0e-8
-5.0 1.0 0.0      0.2 0.0 0.0     1.0e-8
-5.0 2.0 0.0      0.0 0.2 0.0     1.0e-8
-4.0 3.0 0.0      0.0 0.0 -0.2     1.0e-8
-4.0 4.0 0.0      0.2 0.0 0.0     1.0e-8
-3.0 5.0 0.0      0.0 0.1 0.1     1.0e-8
-2.0 6.0 0.0      0.1 0.0 0.1     1.0e-8
-1.0 7.0 0.0      0.0 -0.2 0.0     1.0e-8
-1.0 8.0 0.0      0.1 0.1 0.0     1.0e-8
-1.0 9.0 0.0      0.1 0.0 0.1     1.0e-8
-2.0 10.0 0.0      0.2 0.0 0.0     1.0e-8
-3.0 11.0 0.0      0.0 0.0 0.2     1.0e-8
-2.0 11.0 0.0      0.0 0.2 0.0     1.0e-8
-1.0 11.0 0.0      -0.2 0.0 0.0     1.0e-8
0.0 11.0 0.0      0.0 0.1 0.1     1.0e-8
0.0 12.0 0.0      -0.1 0.0 0.1     1.0e-8
0.0 13.0 0.0      -0.1 -0.1 0.0     1.0e-8
1.0 11.0 0.0      0.0 0.0 -0.1     1.0e-8
2.0 11.0 0.0      0.0 -0.1 0.0     1.0e-8
2.0 12.0 0.0      0.1 0.0 0.0     1.0e-8
2.0 13.0 0.0      0.0 0.1 0.0     1.0e-8
3.0 11.0 0.0      0.0 0.0 0.1     1.0e-8
4.0 11.0 0.0      0.0 -0.1 0.0     1.0e-8
3.0 10.0 0.0      0.1 0.0 0.0     1.0e-8
2.0 9.0 0.0      0.0 0.2 0.0     1.0e-8
2.0 8.0 0.0      0.0 0.0 0.1     1.0e-8
3.0 7.0 0.0      0.0 -0.1 0.0     1.0e-8
4.0 6.0 0.0      0.1 0.0 0.0     1.0e-8
4.0 5.0 0.0      0.0 -0.1 0.1     1.0e-8
4.0 4.0 0.0      0.0 0.1 0.0     1.0e-8
4.0 3.0 0.0      0.1 -0.1 0.0     1.0e-8
3.0 2.0 0.0      0.0 -0.1 0.0     1.0e-8
2.0 1.0 0.0      0.0 0.0 0.1     1.0e-8
1.0 0.0 0.0      0.0 -0.1 0.0     1.0e-8
0.0 5.0 0.0      0.0 -0.1 0.1     1.0e-8
-1.0 5.0 0.0      0.0 0.1 0.1     1.0e-8
2.0 5.0 0.0      0.1 0.1 0.0     1.0e-8
3.0 5.0 0.0      0.0 0.2 0.0     1.0e-8
0.0 7.0 0.0      0.0 -0.1 0.0     1.0e-8
1.0 7.0 0.0      0.0 -0.1 0.1     1.0e-8
2.0 7.0 0.0      0.1 0.0 0.1     1.0e-8
0.0 8.0 0.0      0.1 -0.1 0.0     1.0e-8
1.0 8.0 0.0      0.0 -0.1 0.1     1.0e-8
0.0 9.0 0.0      0.1 0.0 -0.1     1.0e-8
1.0 9.0 0.0      0.0 0.1 0.0     1.0e-8
0.0 10.0 0.0      0.1 0.1 0.0     1.0e-8
-1.0 10.0 0.0      0.0 -0.1 0.0     1.0e-8
1.0 10.0 0.0      0.1 0.0 0.1     1.0e-8
2.0 10.0 0.0      0.0 -0.1 0.0     1.0e-8

